id	title	venue	host	city	country	date	talkType	slidesUrl	videoUrl	topic	createdAt	updatedAt
2935	Emerging Trends and Roles in Translational Bioinformatics	BiotechX Europe 2024 Annual Conference, Basel, Switzerland				2024-01-01T00:00:00.000+00:00	Panel			Precision Medicine & Health	2026-03-30T12:25:47.544+00:00	2026-03-30T12:25:47.544+00:00
2936	Leveraging New Technologies to Support Bioinformatics in Drug Discovery	BiotechX USA 2024 Annual Conference, Philadelphia, PA				2024-01-01T00:00:00.000+00:00	Panel			Drug Discovery	2026-03-30T12:25:47.544+00:00	2026-03-30T12:25:47.544+00:00
2937	Data Harmonization to Knowledge Discovery	KDD HealthDay, 30th ACM KDD Conference, Barcelona, Spain				2024-01-01T00:00:00.000+00:00	Panel			Network & Systems Biology	2026-03-30T12:25:47.545+00:00	2026-03-30T12:25:47.545+00:00
2938	AI for Drug Discovery	22nd International Conference on AI in Medicine (AIME '24), Salt Lake City, UT				2024-01-01T00:00:00.000+00:00	Panel			Drug Discovery	2026-03-30T12:25:47.545+00:00	2026-03-30T12:25:47.545+00:00
2939	AI in Drug Discovery: Hype or Hope?	ATTIS '24, UAB, Birmingham, AL				2024-01-01T00:00:00.000+00:00	Panel			Drug Discovery	2026-03-30T12:25:47.546+00:00	2026-03-30T12:25:47.546+00:00
2940	Artificial Intelligence in Healthcare	CCTS Community Engagement Institute Symposium (CEI '23), UAB, Birmingham, AL				2023-01-01T00:00:00.000+00:00	Panel			AI & Machine Learning	2026-03-30T12:25:47.546+00:00	2026-03-30T12:25:47.546+00:00
2941	Artificial Intelligence	2025 CCTS Translational Science Symposium, Gulf Shores, AL				2023-01-01T00:00:00.000+00:00	Panel			AI & Machine Learning	2026-03-30T12:25:47.546+00:00	2026-03-30T12:25:47.546+00:00
2942	Representational Learning in Medicine and Healthcare	GLBIO '23, McGill University, Montreal, Quebec, Canada				2023-01-01T00:00:00.000+00:00	Panel			Precision Medicine & Health	2026-03-30T12:25:47.547+00:00	2026-03-30T12:25:47.547+00:00
2943	AI 360 implementation	7th UAB ATTIS '23, UAB, Birmingham, AL				2023-01-01T00:00:00.000+00:00	Panel			AI & Machine Learning	2026-03-30T12:25:47.547+00:00	2026-03-30T12:25:47.547+00:00
2944	Foundation Models and Infrastructure for Bridge2AI	NIH Bridge2AI Common Fund Program Leadership Meeting, Arlington, VA				2023-01-01T00:00:00.000+00:00	Panel			AI & Machine Learning	2026-03-30T12:25:47.548+00:00	2026-03-30T12:25:47.548+00:00
2945	Single-cell Multi-omics Analysis	MCBIOS '23, University of Dallas, Dallas, TX				2023-01-01T00:00:00.000+00:00	Panel			Multi-omics & Genomics	2026-03-30T12:25:47.548+00:00	2026-03-30T12:25:47.548+00:00
2946	ChatGPT: the past, present, and future of AI applications	CAST-USA Seminar Series, virtual				2023-01-01T00:00:00.000+00:00	Panel			AI & Machine Learning	2026-03-30T12:25:47.549+00:00	2026-03-30T12:25:47.549+00:00
2947	MCBIOS 2019 in Birmingham, AL	15th Annual MCBIOS Conference, Starkville, MS				2018-01-01T00:00:00.000+00:00	Panel			Bioinformatics & Data Science	2026-03-30T12:25:47.549+00:00	2026-03-30T12:25:47.549+00:00
2948	Cell Maps for AI	Session on the Bridge2AI Consortium, American Medical Informatics Association (AMIA) Annual Symposium, Atlanta, GA				2025-01-01T00:00:00.000+00:00	Invited			AI & Machine Learning	2026-03-30T12:25:47.550+00:00	2026-03-30T12:25:47.550+00:00
2949	Decentralizing AI-accelerated Drug Discovery	Session on Pharmacoinformatics: Integrating Data Science and Artificial Intelligence into Drug Life Cycle, AMIA Annual Symposium, Atlanta, GA				2025-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.550+00:00	2026-03-30T12:25:47.550+00:00
2950	Decentralizing AI-accelerated Drug Discovery	Session Emerging Opportunities for AI in Health, Life Sciences & Biomedical Engineering, Alabama Higher Education AI Exchange Conference, Tuscaloosa, AL				2025-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.550+00:00	2026-03-30T12:25:47.550+00:00
2951	Systems Pharmacology AI Research Center (SPARC)	2025 CCTS Annual External Advisory Board Meeting, New Orleans, LA				2025-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.551+00:00	2026-03-30T12:25:47.551+00:00
2952	Common Fund Data Ecosystems CONNECT Integration and Coordination Center	Session on CFDE Center Updates, Common Fund Data Ecosystems (CFDE) Consortium Principle Investigators Fall Meeting, Bethesda, MD				2025-01-01T00:00:00.000+00:00	Invited			Team Science & Collaboration	2026-03-30T12:25:47.551+00:00	2026-03-30T12:25:47.551+00:00
2953	PEACE in Drug Discovery: Building Next-Gen AI Capabilities Together	2025 DahShu Data Science Symposium, University of Connecticut, Storrs, CT				2025-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.552+00:00	2026-03-30T12:25:47.552+00:00
2954	Open Source Drug Discovery	BioTechX Europe Annual Conference, Basel, Switzerland				2025-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.553+00:00	2026-03-30T12:25:47.553+00:00
2955	Building AI Drug Discovery Capabilities in Academia	BioTechX USA Annual Conference, Philadelphia, PA				2025-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.555+00:00	2026-03-30T12:25:47.555+00:00
2956	Super Gene Sets, Gene Set Crosstalks, and Translational Bioinformatics Applications	Common Fund Data Ecosystems (CFDE) Consortium Annual Meeting, North Bethesda, MD				2025-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.555+00:00	2026-03-30T12:25:47.555+00:00
2957	Common Fund Data Ecosystems CONNECT Integration and Coordination Center	Common Fund Data Ecosystems (CFDE) Consortium Annual Meeting, North Bethesda, MD				2025-01-01T00:00:00.000+00:00	Invited			Team Science & Collaboration	2026-03-30T12:25:47.555+00:00	2026-03-30T12:25:47.555+00:00
2958	Programmable Medicine with Digital Functional Genomics Imaging	Festival of Biologics Meeting, San Diego, CA				2025-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.556+00:00	2026-03-30T12:25:47.556+00:00
2959	New Informatics Tools for Unraveling Disease Complexity: Opportunities for Team Science in Nephrology	Nephrology AI Symposium, Birmingham, AL				2025-01-01T00:00:00.000+00:00	Invited			AI & Machine Learning	2026-03-30T12:25:47.556+00:00	2026-03-30T12:25:47.556+00:00
2960	Programmable Medicine as a New Paradigm in Managing and Treating Chronic Diseases	BiotechX Europe 2024 Annual Conference, Basel, Switzerland				2024-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.557+00:00	2026-03-30T12:25:47.557+00:00
2961	A Multi-disciplinary approach at SPARC: Igniting Multi-disciplinary Trail Blaze for AI-enabled Drug Discovery	BiotechX USA 2024 Annual Conference, Philadelphia, PA				2024-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.557+00:00	2026-03-30T12:25:47.557+00:00
2962	Systems Pharmacology AI Research Center (SPARC): Democratizing AI-Enabled Drug Discovery	16th Systems Biology in Human Diseases Annual Conference, Vanderbilt University, Nashville, TN				2024-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.558+00:00	2026-03-30T12:25:47.558+00:00
2963	Systems Pharmacology AI Research Center (SPARC): Towards AI-empowered Drug Discovery	Festival of Biologics, San Diego, CA				2024-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.558+00:00	2026-03-30T12:25:47.558+00:00
2964	Can we Outgame Cancer with XAI?	BioTechX, Santa Clara, CA, USA				2023-01-01T00:00:00.000+00:00	Invited			AI & Machine Learning	2026-03-30T12:25:47.559+00:00	2026-03-30T12:25:47.559+00:00
2965	Community-based Team Data Science Platform with U-BRITE	BioTechX, Basel, Switzerland				2022-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.559+00:00	2026-03-30T12:25:47.559+00:00
2966	Navigating an Academia-industry dual-track career: how I tailored it to have the best of both worlds?	2022 AMIA Annual Symposium, Washington, DC				2022-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.560+00:00	2026-03-30T12:25:47.560+00:00
2967	Cancer Patient Stratification and Molecular Mechanism Identification Using Patient Clinotypes and Transcriptomic Embeddings	21st European Conference on Computational Biology and Bioinformatics (ECCB), Sitges, Spain				2022-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.560+00:00	2026-03-30T12:25:47.560+00:00
2968	21st BIOKDD Opening Remark	21st International Workshop on Data Mining in Bioinformatics, 2022 ACM Conference on Knowledge Discovery and Data Mining (KDD), Washington, DC				2022-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.561+00:00	2026-03-30T12:25:47.561+00:00
2969	New Toolkits for Disease Network Biology	Session on AI/ML in Biomedical Research with Big Data, 31st Annual Symposium for the International Chinese Statistical Association (ICSA), Gainesville, FL				2022-01-01T00:00:00.000+00:00	Invited			AI & Machine Learning	2026-03-30T12:25:47.563+00:00	2026-03-30T12:25:47.563+00:00
2970	Out-gaming Cancer with AI and Systems Biology Models	Drug Discovery and Therapy Session, Elsevier Conference on The Future of Medicine: Development and Applications of AI in Disease Biology and Health Care, held virtually online				2022-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.564+00:00	2026-03-30T12:25:47.564+00:00
2971	Data-driven Medicine	BioData World Congress 2021, Basel, Switzerland				2021-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.565+00:00	2026-03-30T12:25:47.565+00:00
2972	PAGER-CoV-Run: An Online Interactive Analytical Platform for COVID-19 Functional genomic Downstream Analysis	AMIA 2021 Annual Symposium, San Diego, CA				2021-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.565+00:00	2026-03-30T12:25:47.565+00:00
2973	Developing PAGER-CoV: A Comprehensive Knowledgebase Enabling COVID-19 Functional Genomic Studies	Mitochondria-Targeted Drug Development Summit, held virtually online				2021-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.565+00:00	2026-03-30T12:25:47.565+00:00
2974	Discover Gene Expression Spatial Patterns from Single-cell RNA-seq Data Embeddings	International Genomics Proteomics and Bioinformatics Frontier Symposium (GFS), held virtually online				2020-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.566+00:00	2026-03-30T12:25:47.566+00:00
2975	Data-driven Medicine: Lessons from Community-based Data Science Efforts to Fight COVID-19	BioData World Congress 2020, held virtually online				2020-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.566+00:00	2026-03-30T12:25:47.566+00:00
2976	Identifying Glioblastoma Multiform (GBM) Subtypes with Robust and Interpretable Gene Signatures	2nd Patient-derived Models of Cancer (PDMC) Consortium Annual Meeting, held virtually online				2020-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.567+00:00	2026-03-30T12:25:47.567+00:00
2977	PAGER-CoV: A Comprehensive Collection of Pathways, Annotated Gene Lists, and Gene Signatures for Coronavirus Disease Biology Studies	4th Annual NHLBI Progenitor Cell Translational Consortium (PCTC) Meeting, held virtually online				2020-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.567+00:00	2026-03-30T12:25:47.567+00:00
2978	U-BRITE 2.0: An Overview	U-BRITE Day Symposium, UAB, Birmingham, AL				2020-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.568+00:00	2026-03-30T12:25:47.568+00:00
2979	Cancer Informatics: Understanding and Winning the Games of Cancer	ISCB Student Regional Group – Southeast USA Computational Biology Second Annual Symposium, St. Petersburg, FL				2019-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.568+00:00	2026-03-30T12:25:47.568+00:00
2980	U-BRITE: Biocomputing Infrastructure to Accelerate Data-intensive Translational Science	BioData World Congress 2019, Basel, Switzerland				2019-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.569+00:00	2026-03-30T12:25:47.569+00:00
2981	Deciphering the Interaction between Tumor Heterogeneity and Microenvironment to Model Glioblastoma Biology and Therapeutic Response	NIH Investigator’s Workshop on Biological Comparisons in Patient-derived Models of Cancer, San Francisco, CA				2019-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.569+00:00	2026-03-30T12:25:47.569+00:00
2982	Biological Data Mining and BIOKDD: An Introduction	18th International Workshop on Data Mining in Biology (BIOKDD ’19), Anchorage, AL				2019-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.570+00:00	2026-03-30T12:25:47.570+00:00
2983	Enabling Genomic Data Science for Translational Medicine	2nd International Translational and Regenerative Medicine Conference, Valencia, Spain				2019-01-01T00:00:00.000+00:00	Invited			AI & Machine Learning	2026-03-30T12:25:47.570+00:00	2026-03-30T12:25:47.570+00:00
2984	Tutorial: Single-cell Genomics Data Analysis	16th Annual Conference of the Midsouth Computational Biology & Bioinformatics Society (MCBIOS ’19), Birmingham, AL				2019-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.570+00:00	2026-03-30T12:25:47.570+00:00
2985	Computational Approaches to Biomarker Discovery	International Conference on Disease Biomarkers and Precision Medicine, Houston, TX				2018-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.571+00:00	2026-03-30T12:25:47.571+00:00
2986	Network Medicine: From Multi-omics Analysis to Drug Repositioning	Annual Conference on Intelligent Systems for Molecular Biology (ISMB), Chicago, IL				2018-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.571+00:00	2026-03-30T12:25:47.571+00:00
2987	Super Gene Sets	15th Annual Mid-South Conference on Bioinformatics (MCBIOS), Starkville, MS				2018-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.572+00:00	2026-03-30T12:25:47.572+00:00
2988	Keynote Talk	15th Annual Mid-South Conference on Bioinformatics (MCBIOS), Starkville, MS				2018-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.572+00:00	2026-03-30T12:25:47.572+00:00
2989	Translational Bioinformatics: Catching the Wave of Digital Intelligence Revolution in Medicine	1st Annual UAB Research Roundtable, Birmingham, AL				2018-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.572+00:00	2026-03-30T12:25:47.572+00:00
2990	Systems Biology Modeling of Cancer Cells for Drug Reposition Simulations	Symposium on Digital Human for Drug Development, West Lafayette, IN				2015-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.573+00:00	2026-03-30T12:25:47.573+00:00
2991	A New Systems Pharmacology Approach towards Drug Repositioning	246th American Chemical Society National Meeting, Indianapolis, IN				2013-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.573+00:00	2026-03-30T12:25:47.573+00:00
2992	Genome-scale Meta-analysis of Type-2 Diabetes Genetic Risks	the Second International Conference on Environmental Omics, Seoul, South Korea				2013-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.573+00:00	2026-03-30T12:25:47.573+00:00
2993	Translational Bioinformatics: An Alzheimer’s Disease Biomarker Discovery Case Study	the Second International Conference on Environmental Omics, Seoul, South Korea				2013-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.574+00:00	2026-03-30T12:25:47.574+00:00
2994	Predicting Adverse Side Effects of Drugs Using Systems Pharmacology	Cambridge Health Institute’s Twelfth Annual BioITWorld Conference & Expo, Boston, MA				2013-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.574+00:00	2026-03-30T12:25:47.574+00:00
2995	Advancing Systems Pharmacology with Translational Bioinformatics Tools	Cambridge Health Institute’s Annual Molecular Medicine Tri-conference, San Francisco, CA				2012-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.574+00:00	2026-03-30T12:25:47.574+00:00
2996	Accelerating Biomarker Discovery through Visual Analytics	Cambridge Healthtech Institute’s Third Annual ADAPT Conference, Philadelphia, PA				2011-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.575+00:00	2026-03-30T12:25:47.575+00:00
2997	Predictive and Personalized Medicine: Where are we now?	Alivio Medical Center 10th Anniversary Medical Symposium, Indianapolis, IN				2011-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.575+00:00	2026-03-30T12:25:47.575+00:00
2998	Omics and Pathway Integration for Knowledge Discovery	Annual Indiana Colorectal Cancer Engineering Symposium, Indianapolis, IN				2011-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.576+00:00	2026-03-30T12:25:47.576+00:00
2999	High Content Mining of Disease Biomarkers	17th CHI International Molecular Medicine Tri-conference, San Francisco, CA				2010-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.576+00:00	2026-03-30T12:25:47.576+00:00
3000	PEPPI: A Peptidomics Database of Protein Isoforms in Human	The Seventh Annual Conference of the MidSouth Computational Biology and Bioinformatics Society, Jonesboro, AK				2010-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.577+00:00	2026-03-30T12:25:47.577+00:00
3001	Translational Bioinformatics for Genome Medicine	InnovationWell Annual Meeting, Bryn Mawr College, Philadelphia, PA				2009-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.578+00:00	2026-03-30T12:25:47.578+00:00
3002	Translational Bioinformatics: an Introduction	InnovationWell Annual Meeting, Bryn Mawr College, Philadelphia, PA				2009-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.578+00:00	2026-03-30T12:25:47.578+00:00
3003	Next-generation Biomarker Discovery: A Systems Biology Perspective	Quantitative Pharmacology Summit, Eli Lilly and Company, Indianapolis, IN				2009-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.578+00:00	2026-03-30T12:25:47.578+00:00
3004	Network Multi-marker Panel: Towards Next-generation Robust and Interpretable Biomarkers	CHI Accelerating Discovery and Advancing Personalized Therapy Conference, Washington, DC				2009-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.579+00:00	2026-03-30T12:25:47.579+00:00
3005	Turbo-charging Biomedical Knowledge Discoveries	Indiana Pervasive Technology Laboratory and Research Technology Showcase Day, IUPUI, Indianapolis, IN				2009-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.579+00:00	2026-03-30T12:25:47.579+00:00
3006	Cancer Clinical Proteomics	Informatics, Biomedical Informatics, and Translational Research Mini-Conference, Windber Research Institute, Windber, PA				2009-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.580+00:00	2026-03-30T12:25:47.580+00:00
3007	Translational Systems Biology	Mini-symposium of DARPA Delegates and IUPUI Signature Center Directors, Indiana University – Purdue University, Indianapolis, IN				2009-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.580+00:00	2026-03-30T12:25:47.580+00:00
3008	Web 2.0 Tools and its Impact on the Quality of Teaching and Learning	Annual Edward C. Moore Symposium, Indiana University – Purdue University, Indianapolis, IN				2009-01-01T00:00:00.000+00:00	Invited			Education & Training	2026-03-30T12:25:47.581+00:00	2026-03-30T12:25:47.581+00:00
3009	Translational Systems Biology: Bridging Gaps for Genome Medicine	16th CHI International Molecular Medicine Tri-Conference, San Francisco, CA				2009-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.581+00:00	2026-03-30T12:25:47.581+00:00
3010	Bio-computing and Knowledge Discovery of Molecular Networks	e-Bioinformatics Workshop at the 4th IEEE International Conference on E-Science, Indianapolis, IN				2008-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.582+00:00	2026-03-30T12:25:47.582+00:00
3011	Characterizing the Human Plasma Proteome	Midwest Computational Biology and Bioinformatics Symposium, University of Illinois, Urbana-Champion, IL				2008-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.582+00:00	2026-03-30T12:25:47.582+00:00
3012	Translational Bioinformatics: Challenges for New Computational Tools	Panel: Computational Biology, at Innovation in Life Science & Healthcare Research & Product Development Meeting, Philadelphia, PA				2008-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.583+00:00	2026-03-30T12:25:47.583+00:00
3013	A Translational Systems Biology Approach to Panel Biomarker Discoveries	Biomarker Discovery Summit 2008, Philadelphia, PA				2008-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.583+00:00	2026-03-30T12:25:47.583+00:00
3014	Molecular Connectivity and Network Biology Tools for Complex Disease Studies	Indiana University – University of Notre Dame Biomedical Research Collaboration Mini-Symposium, Biocomplexity Institute, University of Notre Dame, South Bend, IN				2008-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.584+00:00	2026-03-30T12:25:47.584+00:00
3015	Translational Bioinformatics	Purdue – Intel Bioscience Technology Summit, Bindley Bioscience Center, Purdue University Discovery Park, West Lafayette, IN				2007-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.584+00:00	2026-03-30T12:25:47.584+00:00
3016	Introduction to BIOKDD ’07	7th International Workshop on Data Mining in Bioinformatics, ACM SIGKDD Conference, San Jose, CA				2007-01-01T00:00:00.000+00:00	Invited			Bioinformatics & Data Science	2026-03-30T12:25:47.585+00:00	2026-03-30T12:25:47.585+00:00
3017	Network Biology Research: Connecting the Dots in Biology	Indiana University School of Informatics Bioinformatics Faculty Retreat, Bradford Woods, IN				2007-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.585+00:00	2026-03-30T12:25:47.585+00:00
