id	title	authors	year	journal	abstract	doi	pubmedId	arxivId	pdfUrl	tags	researchLineage	articleType	featured	curationStatus	sourceCV	createdAt	updatedAt
3646	Disease Gene-fishing in Molecular Interaction Networks: a Case Study in Colorectal Cancer	Hui Huang, Jiao Li, and Jake Y. Chen*	2009	Proceedings of the 31st Annual International Conference of the IEEE Engineering in Medicine and Biology Society, pp						["Systems Biology","Cancer"]		Conference	0	VERIFIED		2026-03-30T12:25:47.469+00:00	2026-03-30T12:25:47.469+00:00
3647	Network Topological Reordering Revealing Systemic Patterns in Yeast Protein Interaction Networks	Xiaogang Wu, Ragini Pandey, and Jake Y. Chen*	2009	Proceedings of the 31st Annual International Conference of the IEEE Engineering in Medicine and Biology Society, pp						["Systems Biology"]		Conference	0	VERIFIED		2026-03-30T12:25:47.469+00:00	2026-03-30T12:25:47.469+00:00
3648	Visualizing a Correlative Multi-level Graph of Biology Entity Interactions	Qian You, Shiaofen Fang, Snehasis Mukhopadhyay, Harsha Vaka, and Jake Y. Chen*	2009	Workshop on Intelligent Biomedical Information Systems at the 12th International Conference on Network-Based Information Systems, pp						["Systems Biology","Visualization"]		Conference	0	VERIFIED		2026-03-30T12:25:47.470+00:00	2026-03-30T12:25:47.470+00:00
3649	Toward Ontology-Driven Omics Data Integration in Current Database Management Systems	John Springer and Jake Y. Chen*	2009	Workshop on Intelligent Biomedical Information Systems at the 12th International Conference on Network-Based Information Systems, pp						["Bioinformatics","Systems Biology","Knowledge Networks","Multi-omics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.471+00:00	2026-03-30T12:25:47.471+00:00
3650	Construct Anticancer Drug-Drug Correlation Network	Jiao Li, Pamela Crowell, and Jake Y. Chen*	2009	Proceedings of the 24th Annual ACM Symposium on Applied Computing, Vol						["Drug Discovery","Systems Biology","Cancer"]		Conference	0	VERIFIED		2026-03-30T12:25:47.471+00:00	2026-03-30T12:25:47.471+00:00
3651	Gene Selection using the GMM-IG Framework based Integrative Analysis	Mingyi Wang and Jake Y. Chen*	2008	IEEE Proceedings of the International Conference on Biomedical Engineering and Informatics						["Multi-omics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.472+00:00	2026-03-30T12:25:47.472+00:00
3652	An Integrative Human Pathway Database for Systems Biology Applications	Harini Kasamsetty, Xiaogang Wu, and Jake Y. Chen*	2008	Proceedings of the 2008 IEEE International Conference on Bioinformatics and Biomedicine (BIBM 2008)						["Bioinformatics","Systems Biology","Knowledge Networks","Multi-omics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.472+00:00	2026-03-30T12:25:47.472+00:00
3653	Mining Disease-Specific Molecular Association Profiles from Biomedical Literature: A Case Study	Jiao Li, Xiaoyan Zhu, and Jake Y. Chen*	2008	Proceedings of the 2008 IEEE International Conference on Bioinformatics and Biomedicine (BIBM 2008)						["Bioinformatics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.473+00:00	2026-03-30T12:25:47.473+00:00
3654	A Systems Biology Case Study of Ovarian Cancer Drug Resistance	Jake Y. Chen*, Changyu Shen, Zhong Yan, Dawn P. G. Brown, and Mu Wang	2006	Computational Systems Bioinformatics: CSB						["Drug Discovery","Bioinformatics","Systems Biology","Cancer"]		Conference	0	VERIFIED		2026-03-30T12:25:47.473+00:00	2026-03-30T12:25:47.473+00:00
3655	An Integrated Computational Proteomics Method to Extract Protein Targets for Fanconi Anemia Studies	Jake Y. Chen*, Sarah L. Pinkerton, Changyu Shen, and Mu Wang	2006	Proceedings of the						["Bioinformatics","Multi-omics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.474+00:00	2026-03-30T12:25:47.474+00:00
3656	Mining Alzheimer Disease Relevant Proteins from Integrated Protein Interactome Data	Jake Y. Chen*, Changyu Shen, and Andrey Sivachenko	2006	Pacific Symposium on Biocomputing						["Systems Biology","Neurodegenerative Diseases"]		Conference	0	VERIFIED		2026-03-30T12:25:47.475+00:00	2026-03-30T12:25:47.475+00:00
3657	Discover True Association Rates in Multi-protein Complex Proteomics Data Sets	Changyu Shen, Lang Li, Jake Y. Chen*	2005	Proceedings of the IEEE Computational Systems Biology Bioinformatics Conference						["Bioinformatics","Systems Biology","Multi-omics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.475+00:00	2026-03-30T12:25:47.475+00:00
3658	A Method for Conquering Complex Biological Database Queries	Jake Y. Chen*, John Carlis, and Ning Gao	2005	Proceedings of the						["Knowledge Networks"]		Conference	0	VERIFIED		2026-03-30T12:25:47.476+00:00	2026-03-30T12:25:47.476+00:00
3659	Experience with Processing and Exploration of High-throughput Protein Interaction Data	Jake Y. Chen*	2004	Session on Systems Biology and Bioinformatics						["Bioinformatics","Systems Biology"]		Conference	0	VERIFIED		2026-03-30T12:25:47.476+00:00	2026-03-30T12:25:47.476+00:00
3660	High-throughput Protein Interactome Data: Minable or Not?	Jake Y. Chen*, Andrey Y. Sivachenko, and Lang Li	2004	Fourth ACM SIGKDD Workshop on Data Mining in Bioinformatics (BioKDD 2004), Seattle, WA						["Bioinformatics","Systems Biology","Knowledge Networks"]		Conference	0	VERIFIED		2026-03-30T12:25:47.478+00:00	2026-03-30T12:25:47.478+00:00
3661	Initial Large-scale Exploration of Protein-protein Interactions in the Human Brain	Jake Y. Chen*, Andrey Y. Sivachenko, Russell Bell, Connie Kurschner, Irene Ota, and Sudhir Sahasrabudhe	2003	Proceedings of the IEEE CSB Bioinformatics Conference						["Bioinformatics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.481+00:00	2026-03-30T12:25:47.481+00:00
3662	Similar_Join: Extending DBMS with a Bio-specific Operator	Jake Y. Chen* and John Carlis	2003	Proceedings of the						["Bioinformatics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.482+00:00	2026-03-30T12:25:47.482+00:00
3663	Managing Bioinformatics Challenges in Expression Microarray Sequence Selection Projects	Jake Y. Chen* and John Carlis	2002	Proceedings of the Second Chinese Conference on Bioinformatics						["Bioinformatics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.482+00:00	2026-03-30T12:25:47.482+00:00
3664	A High-density Microarray Case Study of Query Modeling In Bioinformatics	Jake Y. Chen* and John Carlis	2002	Proceedings of the International Conference on Bioinformatics						["Bioinformatics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.483+00:00	2026-03-30T12:25:47.483+00:00
3665	A High-throughput System to Resolve Inconsistent Reading Frame Predictions for Expressed Sequence Tags	Yue Chen*, Libby Shoop, John Carlis, and John Riedl	2001	Proceedings of Workshop on Inconsistency in Data and Knowledge at the International Joint Conference on Artificial Intelligence (IJCAI)						["AI/ML","Bioinformatics"]		Conference	0	VERIFIED		2026-03-30T12:25:47.483+00:00	2026-03-30T12:25:47.483+00:00
3666	Biological Data Mining	Jake Y. Chen and Stefano Lonardi, ed	2009							["Knowledge Networks"]		Book	0	VERIFIED		2026-03-30T12:25:47.484+00:00	2026-03-30T12:25:47.484+00:00
3667	Biological Database Modeling	Jake Y. Chen and Amandeep Sidhu, ed	2007							["Knowledge Networks"]		Book	0	VERIFIED		2026-03-30T12:25:47.485+00:00	2026-03-30T12:25:47.485+00:00
3668	AI in Translational Bioinformatics and Precision Medicine	Jake Y. Chen and Thanh Nguyen	2022	Intelligent Systems In Medicine and Health: The Role of AI						["AI/ML","Bioinformatics","Precision Medicine"]		Book Chapter	0	VERIFIED		2026-03-30T12:25:47.486+00:00	2026-03-30T12:25:47.486+00:00
